step,actic loss,average distance,time
10,-2.0584,10.4507,0min4sec
20,0.0779,10.3984,0min4sec
30,6.8378,10.0602,0min4sec
40,10.0956,9.5224,0min4sec
50,9.2711,9.1439,0min4sec
60,8.0212,8.8895,0min4sec
70,6.9594,8.7021,0min4sec
80,6.1213,8.5631,0min4sec
90,5.4725,8.4471,0min4sec
100,4.9153,8.3570,0min4sec
110,4.4490,8.2879,0min4sec
120,4.0987,8.2223,0min4sec
130,3.7817,8.1680,0min5sec
140,3.5215,8.1174,0min4sec
150,3.2643,8.0788,0min4sec
160,3.0710,8.0400,0min4sec
170,2.8787,8.0079,0min5sec
180,2.7183,7.9779,0min5sec
190,2.5745,7.9507,0min5sec
200,2.4425,7.9262,0min4sec
210,2.3118,7.9073,0min5sec
220,2.2055,7.8881,0min5sec
230,2.1091,7.8697,0min7sec
240,2.0158,7.8535,0min6sec
250,1.9315,7.8386,0min6sec
260,1.8517,7.8245,0min5sec
270,1.7752,7.8124,0min6sec
280,1.7103,7.8012,0min7sec
290,1.6499,7.7904,0min7sec
300,1.5908,7.7816,0min7sec
310,1.5330,7.7749,0min7sec
320,1.4799,7.7703,0min7sec
330,1.4363,7.7646,0min7sec
340,1.4014,7.7564,0min7sec
350,1.3502,7.7537,0min7sec
360,1.3162,7.7490,0min7sec
370,1.2889,7.7415,0min7sec
380,1.2552,7.7350,0min7sec
390,1.2182,7.7305,0min7sec
400,1.1866,7.7265,0min7sec
410,1.1611,7.7207,0min7sec
420,1.1342,7.7148,0min6sec
430,1.1054,7.7098,0min6sec
440,1.0787,7.7052,0min7sec
450,1.0534,7.7005,0min7sec
460,1.0285,7.6973,0min7sec
470,1.0075,7.6928,0min7sec
480,0.9883,7.6877,0min7sec
490,0.9662,7.6832,0min7sec
500,0.9467,7.6787,0min8sec
510,0.9265,7.6745,0min8sec
520,0.9029,7.6731,0min8sec
530,0.8889,7.6692,0min8sec
540,0.8733,7.6656,0min7sec
550,0.8582,7.6616,0min6sec
560,0.8414,7.6581,0min7sec
570,0.8263,7.6545,0min8sec
580,0.8119,7.6513,0min8sec
590,0.7970,7.6485,0min8sec
600,0.7832,7.6466,0min8sec
610,0.7721,7.6434,0min7sec
620,0.7599,7.6403,0min7sec
630,0.7480,7.6376,0min7sec
640,0.7351,7.6352,0min7sec
650,0.7221,7.6332,0min6sec
660,0.7113,7.6309,0min7sec
670,0.7002,7.6290,0min7sec
680,0.6863,7.6278,0min7sec
690,0.6757,7.6268,0min7sec
700,0.6671,7.6249,0min7sec
710,0.6546,7.6249,0min7sec
720,0.6468,7.6239,0min7sec
730,0.6381,7.6230,0min6sec
740,0.6296,7.6216,0min7sec
750,0.6214,7.6205,0min7sec
760,0.6138,7.6191,0min7sec
770,0.6049,7.6184,0min7sec
780,0.5969,7.6174,0min7sec
790,0.5905,7.6155,0min8sec
800,0.5832,7.6137,0min7sec
810,0.5782,7.6111,0min7sec
820,0.5749,7.6074,0min6sec
830,0.5729,7.6018,0min6sec
840,0.5704,7.5952,0min5sec
850,0.5739,7.5858,0min5sec
860,0.5723,7.5756,0min5sec
870,0.5699,7.5644,0min5sec
880,0.5667,7.5523,0min5sec
890,0.5604,7.5397,0min6sec
900,0.5536,7.5269,0min6sec
910,0.5468,7.5134,0min6sec
920,0.5380,7.5000,0min6sec
930,0.5299,7.4863,0min7sec
940,0.5207,7.4727,0min7sec
950,0.5129,7.4590,0min7sec
960,0.5026,7.4455,0min7sec
970,0.4961,7.4319,0min8sec
980,0.4898,7.4183,0min8sec
990,0.4814,7.4049,0min8sec
1000,0.4764,7.3911,0min7sec
1010,0.4712,7.3769,0min8sec
1020,0.4643,7.3625,0min8sec
1030,0.4570,7.3483,0min8sec
1040,0.4500,7.3346,0min8sec
1050,0.4442,7.3205,0min8sec
1060,0.4354,7.3070,0min8sec
1070,0.4291,7.2935,0min8sec
1080,0.4236,7.2796,0min8sec
1090,0.4182,7.2658,0min8sec
1100,0.4122,7.2520,0min8sec
1110,0.4062,7.2385,0min9sec
1120,0.4011,7.2250,0min9sec
1130,0.3950,7.2117,0min9sec
1140,0.3894,7.1986,0min9sec
1150,0.3840,7.1855,0min9sec
1160,0.3772,7.1728,0min9sec
1170,0.3728,7.1601,0min9sec
1180,0.3684,7.1476,0min9sec
1190,0.3635,7.1351,0min9sec
1200,0.3584,7.1231,0min9sec
1210,0.3522,7.1114,0min9sec
1220,0.3488,7.0994,0min9sec
1230,0.3434,7.0878,0min9sec
1240,0.3395,7.0761,0min9sec
1250,0.3368,7.0642,0min9sec
1260,0.3318,7.0527,0min9sec
1270,0.3270,7.0414,0min9sec
1280,0.3237,7.0301,0min9sec
1290,0.3199,7.0186,0min9sec
1300,0.3162,7.0072,0min9sec
1310,0.3126,6.9961,0min9sec
1320,0.3083,6.9849,0min9sec
1330,0.3045,6.9738,0min9sec
1340,0.2989,6.9635,0min9sec
1350,0.2957,6.9532,0min9sec
1360,0.2940,6.9425,0min9sec
1370,0.2917,6.9314,0min9sec
1380,0.2893,6.9201,0min8sec
1390,0.2854,6.9092,0min9sec
1400,0.2832,6.8979,0min9sec
1410,0.2804,6.8867,0min9sec
1420,0.2795,6.8749,0min8sec
1430,0.2788,6.8629,0min8sec
1440,0.2785,6.8502,0min8sec
1450,0.2778,6.8370,0min8sec
1460,0.2754,6.8244,0min8sec
1470,0.2732,6.8115,0min8sec
1480,0.2724,6.7982,0min8sec
1490,0.2712,6.7847,0min8sec
1500,0.2695,6.7713,0min8sec
1510,0.2681,6.7575,0min7sec
1520,0.2656,6.7439,0min7sec
1530,0.2643,6.7299,0min7sec
1540,0.2627,6.7158,0min7sec
1550,0.2608,6.7017,0min7sec
1560,0.2586,6.6877,0min7sec
1570,0.2562,6.6739,0min7sec
1580,0.2544,6.6600,0min7sec
1590,0.2527,6.6461,0min7sec
1600,0.2500,6.6325,0min8sec
1610,0.2479,6.6190,0min7sec
1620,0.2447,6.6058,0min7sec
1630,0.2429,6.5925,0min7sec
1640,0.2392,6.5797,0min7sec
1650,0.2374,6.5669,0min7sec
1660,0.2353,6.5542,0min7sec
1670,0.2332,6.5416,0min8sec
1680,0.2310,6.5293,0min8sec
1690,0.2289,6.5171,0min8sec
1700,0.2278,6.5046,0min8sec
1710,0.2261,6.4921,0min7sec
1720,0.2241,6.4798,0min8sec
1730,0.2220,6.4678,0min8sec
1740,0.2203,6.4557,0min8sec
1750,0.2185,6.4438,0min8sec
1760,0.2168,6.4319,0min7sec
1770,0.2148,6.4203,0min8sec
1780,0.2133,6.4086,0min7sec
1790,0.2116,6.3971,0min7sec
1800,0.2096,6.3857,0min7sec
1810,0.2083,6.3743,0min7sec
1820,0.2057,6.3634,0min7sec
1830,0.2038,6.3526,0min7sec
1840,0.2025,6.3418,0min7sec
1850,0.2009,6.3311,0min7sec
1860,0.1993,6.3204,0min25sec
1870,0.1982,6.3096,1min4sec
1880,0.1961,6.2992,0min13sec
